ID,Species,Plot,Forest_Type,Rats,Year,Diam_cm
PG 7,PG,Eastern,Mixed,pre,2008,7.957747155
PG 34,PG,Eastern,Mixed,pre,2008,1.2
PG 35,PG,Eastern,Mixed,pre,2008,1.3
PG 36,PG,Eastern,Mixed,pre,2008,3.6
PG 41,PG,Eastern,Mixed,pre,2008,7.006369427
PG 47,PG,Eastern,Mixed,pre,2008,1.2
PG13,PG,Eastern,Mixed,pre,2008,7.006369427
PG15,PG,Eastern,Mixed,pre,2008,1.2
PG17,PG,Eastern,Mixed,pre,2008,2.2
PG18,PG,Eastern,Mixed,pre,2008,1.1
PG19,PG,Eastern,Mixed,pre,2008,1.9
PG21,PG,Eastern,Mixed,pre,2008,1.1
PG26,PG,Eastern,Mixed,pre,2008,1.3
PG3,PG,Eastern,Mixed,pre,2008,4.777070064
PG30,PG,Eastern,Mixed,pre,2008,7.002817496
PG33,PG,Eastern,Mixed,pre,2008,3.184713376
PG4,PG,Eastern,Mixed,pre,2008,5.3
PG5,PG,Eastern,Mixed,pre,2008,3.5
458,PF,Eastern,Mixed,pre,2008,0.5
498,PF,Eastern,Mixed,pre,2008,0.3
499,PF,Eastern,Mixed,pre,2008,0.8
PG 34,PG,Eastern,Mixed,pre,2009,3.4
PG 35,PG,Eastern,Mixed,pre,2009,4.7
PG 36,PG,Eastern,Mixed,pre,2009,9.6
PG 41,PG,Eastern,Mixed,pre,2009,7.006369427
PG 47,PG,Eastern,Mixed,pre,2009,6.8
PG13,PG,Eastern,Mixed,pre,2009,7.006369427
PG15,PG,Eastern,Mixed,pre,2009,2.4
PG17,PG,Eastern,Mixed,pre,2009,3.7
PG18,PG,Eastern,Mixed,pre,2009,4.8
PG19,PG,Eastern,Mixed,pre,2009,2.7
PG21,PG,Eastern,Mixed,pre,2009,1.6
PG26,PG,Eastern,Mixed,pre,2009,3.7
PG3,PG,Eastern,Mixed,pre,2009,4.777070064
PG30,PG,Eastern,Mixed,pre,2009,7.006369427
PG33,PG,Eastern,Mixed,pre,2009,3.184713376
PG4,PG,Eastern,Mixed,pre,2009,5.3
PG5,PG,Eastern,Mixed,pre,2009,3.5
PF458,PF,Eastern,Mixed,pre,2009,2.7
PF498,PF,Eastern,Mixed,pre,2009,1.6
PF499,PF,Eastern,Mixed,pre,2009,2.3
PG 34,PG,Eastern,Mixed,pre,2010,3.4
