Plot,Eradication,Year,Avg_yrly_seedling,5_yr_sldg,total_saplings_5yrs,survivorship
Eastern,pre,2007,46.5,232.5,13,0.055913978
Holei 1,pre,2007,14.33333333,71.66666667,0,0
Kaula,pre,2007,1.666666667,8.333333333,0,0
Papala,pre,2007,68.33333333,341.6666667,6,0.017560976
Paradise,pre,2007,15.25,76.25,10,0.131147541
Sand,pre,2007,1.666666667,8.333333333,0,0
Eastern,post,2016,110.5,552.5,12,0.021719457
Holei 1,post,2016,623.5,3117.5,45,0.014434643
Kaula,post,2016,871.75,4358.75,98,0.02248351
Papala,post,2016,662.5,3312.5,42,0.012679245
Paradise,post,2016,410.5,2052.5,30,0.014616322
Sand,post,2016,86.66666667,433.3333333,5,0.011538462
