Plot,Forest_Type,Rats,Year,CN_Yr1,CN_Yr3,CN_Yr5
Eastern,Mixed,pre,2008,27,16,0
Holei 1,Mono,pre,2008,0,13,0
Kaula,Mono,pre,2008,0,0,0
Papala,Mono,pre,2008,22,43,0
Paradise,Mixed,pre,2008,1,10,0
Sand,Mixed,pre,2008,0,1,0
Holei 2,Mixed,pre,2008,0,13,0
Eastern,Mixed,pre,2009,2,25,0
Kaula,Mono,pre,2009,3,2,0
Paradise,Mixed,pre,2009,2,18,0
Holei 2,Mixed,pre,2009,0,3,2
Papala,Mono,pre,2009,22,46,0
Sand,Mixed,pre,2009,0,0,0
Eastern,Mixed,pre,2010,32,8,0
Holei 1,Mono,pre,2010,3,12,0
Papala,Mono,pre,2010,24,64,0
Paradise,Mixed,pre,2010,6,11,0
Sand,Mixed,pre,2010,1,0,0
Holei 2,Mixed,pre,2010,0,0,0
Eastern,Mixed,post,2016,68,55,12
Holei 1,Mono,post,2016,243,378,45
Kaula,Mono,post,2016,310,450,71
Papala,Mono,post,2016,321,434,42
Paradise,Mixed,post,2016,238,193,30
Sand,Mixed,post,2016,71,30,8
Holei 2,Mixed,pre,2016,28,18,0
