id,Forest_Typ,Island,Area,Area2
1,Native,AVIA,1159.00,1159.70
2,Mixed,AINS,166.10,166.11
3,Mixed,DUDL,670.60,670.66
4,Mixed,LESL,244.50,244.52
5,Mixed,SAND,1131.00,1131.01
6,Cocos,SOFI,6155.00,6155.35
7,Mixed,NOFI,5423.00,5423.04
8,Cocos,CAST,1440.00,1440.18
9,Mixed,CAUS,1757.00,1757.60
10,Mixed,CAUS,8126.00,8126.00
11,Mixed,CAUS,15078.00,15078.17
12,Cocos,POLL,1413.00,1413.38
13,Cocos,SACI,2638.00,2638.06
14,Cocos,FERN,4289.00,4289.80
15,Native,LOST,2351.00,2351.11
16,Mixed,EAST,467.00,467.00
17,Mixed,PORT,965.40,965.41
18,Mixed,EAST,1027.00,1027.17
19,Mixed,FRIG,222.10,222.15
20,Native,BUNK,274.90,274.90
21,Native,WHIP,3545.00,3545.69
22,Mixed,QUAI,2575.00,2575.26
23,Mixed,BARR,1945.00,1945.23
24,Mixed,SAND,469.00,469.07
25,Mixed,SAND,174.60,174.67
26,Mixed,SAND,8458.00,8458.32
27,Mixed,SAND,313.50,313.54
28,Mixed,SAND,878.80,878.84
29,Mixed,SAND,737.90,737.90
30,Mixed,SAND,197.60,197.65
31,Mixed,SAND,61.24,61.24
32,Mixed,SAND,225.70,225.73
33,Mixed,SAND,15.94,15.94
34,Mixed,SAND,1750.00,1750.02
35,Mixed,SAND,159.40,159.46
36,Mixed,LESL,990.00,990.00
37,Native,PARA,5109.00,5109.30
38,Native,PARA,1002.00,1002.46
39,Cocos,PARA,4289.00,4289.70
40,Mixed,KAUL,1503.00,1503.41
41,Cocos,KAUL,14769.00,14769.29
42,Cocos,KAUL,244.20,244.26
43,Mixed,KAUL,3813.00,3813.97
44,Mixed,KAUL,1622.00,1622.01
45,Mixed,CAST,1121.00,1121.88
46,Mixed,KAUL,8455.00,8455.81
47,Mixed,KAUL,3963.00,3963.92
48,Mixed,KAUL,2684.00,2684.69
49,Mixed,HOLE,2845.00,2845.74
50,Mixed,KAUL,2543.00,2543.03
51,Cocos,HOLE,6472.00,6472.46
52,Native,HOLE,1297.00,1297.29
53,Cocos,HOLE,1795.00,1795.39
54,Native,HOLE,4042.00,4042.42
55,Native,HOLE,5521.00,5521.92
56,Cocos,HOLE,5524.00,5524.81
57,Mixed,PAPA,5565.00,5565.34
58,Mixed,PAPA,2093.00,2093.48
59,Cocos,PAPA,8531.00,8531.16
60,Native,PAPA,26605.00,26605.14
61,Mixed,PAPA,790.50,790.53
62,Native,PAPA,139.20,139.24
63,Mixed,PAPA,3418.00,3418.96
64,Native,PAPA,7974.00,7974.99
65,Mixed,KAUL,3263.00,3263.90
66,Mixed,KAUL,4320.00,4320.73
67,Mixed,FERN,388.80,388.85
68,Cocos,SOFI,65.84,65.84
69,Mixed,SOFI,1288.00,1288.19
70,Cocos,SOFI,389.50,389.56
71,Cocos,SOFI,5193.00,5193.42
72,Mixed,SOFI,4204.00,4204.80
73,Cocos,NOFI,926.60,926.68
74,Cocos,NOFI,2090.00,2090.16
75,Cocos,NOFI,8881.00,8881.80
76,Mixed,NOFI,790.10,790.13
77,Native,NOFI,12219.00,12219.63
78,Mixed,NOFI,18356.00,18356.98
79,Mixed,NOFI,100.50,100.55
80,Mixed,NOFI,622.90,622.99
81,Mixed,NOFI,773.00,773.07
82,Mixed,EAST,3877.00,3877.75
83,Mixed,EAST,1016.00,1016.02
84,Mixed,EAST,1998.00,1998.90
85,Mixed,EAST,219.50,219.58
86,Mixed,EAST,810.90,810.92
87,Mixed,EAST,406.30,406.32
88,Mixed,EAST,129.40,129.42
89,Mixed,EAST,66.93,66.93
90,Mixed,EAST,1789.00,1789.76
91,Mixed,EAST,121.80,121.87
93,Mixed,EAST,579.80,579.87
94,Mixed,EAST,48.94,48.94
